Groups:
MotorControl:MCA|HeartRateSetPoint =, MotorControl:MCA|HeartRateSetPoint[7], MotorControl:MCA|HeartRateSetPoint[6], MotorControl:MCA|HeartRateSetPoint[5], MotorControl:MCA|HeartRateSetPoint[4], MotorControl:MCA|HeartRateSetPoint[3], MotorControl:MCA|HeartRateSetPoint[2], MotorControl:MCA|HeartRateSetPoint[1], MotorControl:MCA|HeartRateSetPoint[0],  unsigned decimal
MotorControl:MCA|HeartRate =, MotorControl:MCA|HeartRate[7], MotorControl:MCA|HeartRate[6], MotorControl:MCA|HeartRate[5], MotorControl:MCA|HeartRate[4], MotorControl:MCA|HeartRate[3], MotorControl:MCA|HeartRate[2], MotorControl:MCA|HeartRate[1], MotorControl:MCA|HeartRate[0],  unsigned decimal
MotorControl:MCA|CurrentControl:CC|AssistanceRequirement =, MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[11], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[10], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[9], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[8], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[7], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[6], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[5], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[4], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[3], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[2], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[1], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[0],  unsigned decimal
MotorControl:MCA|CurrentControl:CC|MotorSignal =, MotorControl:MCA|CurrentControl:CC|MotorSignal[11], MotorControl:MCA|CurrentControl:CC|MotorSignal[10], MotorControl:MCA|CurrentControl:CC|MotorSignal[9], MotorControl:MCA|CurrentControl:CC|MotorSignal[8], MotorControl:MCA|CurrentControl:CC|MotorSignal[7], MotorControl:MCA|CurrentControl:CC|MotorSignal[6], MotorControl:MCA|CurrentControl:CC|MotorSignal[5], MotorControl:MCA|CurrentControl:CC|MotorSignal[4], MotorControl:MCA|CurrentControl:CC|MotorSignal[3], MotorControl:MCA|CurrentControl:CC|MotorSignal[2], MotorControl:MCA|CurrentControl:CC|MotorSignal[1], MotorControl:MCA|CurrentControl:CC|MotorSignal[0],  binary
MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage =, MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[11], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[10], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[9], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[8], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[7], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[6], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[5], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[4], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[3], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[2], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[1], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[0],  binary

Data:
time unit: us, MotorControl:MCA|HeartRateSetPoint, MotorControl:MCA|HeartRateSetPoint[7], MotorControl:MCA|HeartRateSetPoint[6], MotorControl:MCA|HeartRateSetPoint[5], MotorControl:MCA|HeartRateSetPoint[4], MotorControl:MCA|HeartRateSetPoint[3], MotorControl:MCA|HeartRateSetPoint[2], MotorControl:MCA|HeartRateSetPoint[1], MotorControl:MCA|HeartRateSetPoint[0], MotorControl:MCA|HeartRate, MotorControl:MCA|HeartRate[7], MotorControl:MCA|HeartRate[6], MotorControl:MCA|HeartRate[5], MotorControl:MCA|HeartRate[4], MotorControl:MCA|HeartRate[3], MotorControl:MCA|HeartRate[2], MotorControl:MCA|HeartRate[1], MotorControl:MCA|HeartRate[0], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement, MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[11], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[10], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[9], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[8], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[7], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[6], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[5], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[4], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[3], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[2], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[1], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[0], MotorControl:MCA|CurrentControl:CC|MotorSignal, MotorControl:MCA|CurrentControl:CC|MotorSignal[11], MotorControl:MCA|CurrentControl:CC|MotorSignal[10], MotorControl:MCA|CurrentControl:CC|MotorSignal[9], MotorControl:MCA|CurrentControl:CC|MotorSignal[8], MotorControl:MCA|CurrentControl:CC|MotorSignal[7], MotorControl:MCA|CurrentControl:CC|MotorSignal[6], MotorControl:MCA|CurrentControl:CC|MotorSignal[5], MotorControl:MCA|CurrentControl:CC|MotorSignal[4], MotorControl:MCA|CurrentControl:CC|MotorSignal[3], MotorControl:MCA|CurrentControl:CC|MotorSignal[2], MotorControl:MCA|CurrentControl:CC|MotorSignal[1], MotorControl:MCA|CurrentControl:CC|MotorSignal[0], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage, MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[11], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[10], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[9], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[8], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[7], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[6], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[5], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[4], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[3], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[2], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[1], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[0], 
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, 
800, 80, 0, 1, 0, 1, 0, 0, 0, 0, 88, 0, 1, 0, 1, 1, 0, 0, 0, 327, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1600, 80, 0, 1, 0, 1, 0, 0, 0, 0, 88, 0, 1, 0, 1, 1, 0, 0, 0, 327, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2400, 80, 0, 1, 0, 1, 0, 0, 0, 0, 88, 0, 1, 0, 1, 1, 0, 0, 0, 327, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3200, 80, 0, 1, 0, 1, 0, 0, 0, 0, 88, 0, 1, 0, 1, 1, 0, 0, 0, 327, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4000, 80, 0, 1, 0, 1, 0, 0, 0, 0, 88, 0, 1, 0, 1, 1, 0, 0, 0, 327, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4800, 80, 0, 1, 0, 1, 0, 0, 0, 0, 88, 0, 1, 0, 1, 1, 0, 0, 0, 327, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5600, 80, 0, 1, 0, 1, 0, 0, 0, 0, 88, 0, 1, 0, 1, 1, 0, 0, 0, 327, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6400, 80, 0, 1, 0, 1, 0, 0, 0, 0, 88, 0, 1, 0, 1, 1, 0, 0, 0, 327, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7200, 80, 0, 1, 0, 1, 0, 0, 0, 0, 88, 0, 1, 0, 1, 1, 0, 0, 0, 327, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
8000, 80, 0, 1, 0, 1, 0, 0, 0, 0, 88, 0, 1, 0, 1, 1, 0, 0, 0, 327, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
8800, 80, 0, 1, 0, 1, 0, 0, 0, 0, 88, 0, 1, 0, 1, 1, 0, 0, 0, 327, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
9600, 80, 0, 1, 0, 1, 0, 0, 0, 0, 88, 0, 1, 0, 1, 1, 0, 0, 0, 327, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
10400, 80, 0, 1, 0, 1, 0, 0, 0, 0, 88, 0, 1, 0, 1, 1, 0, 0, 0, 327, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
11200, 80, 0, 1, 0, 1, 0, 0, 0, 0, 88, 0, 1, 0, 1, 1, 0, 0, 0, 327, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
12000, 80, 0, 1, 0, 1, 0, 0, 0, 0, 88, 0, 1, 0, 1, 1, 0, 0, 0, 327, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
12800, 80, 0, 1, 0, 1, 0, 0, 0, 0, 88, 0, 1, 0, 1, 1, 0, 0, 0, 327, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 111111111111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
